event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
2067,137,Montpellier,home, 58 ,Substitution, Enzo Tchato , Léo Leroy 
2068,137,Montpellier,home, 58 ,Substitution, Faitout Maouassa , Arnaud Nordin 
2069,137,Lille,away, 59 ,Substitution, André Gomes , Remy Cabella 
2070,137,Montpellier,home, 75 ,Substitution, Arnaud Souquet , Mamadou Sakho 
2071,137,Montpellier,home, 75 ,Substitution, Khalil Fayad , Jordan Ferri 
2072,137,Lille,away, 80 ,Yellow card, Adam Ounas ,
2073,137,Montpellier,home, 82 ,Substitution, Béni Makouana , Joris Chotard 
2074,137,Lille,away, 86 ,Yellow card, André Gomes ,
2075,137,Lille,away, 94 ,Yellow card, Jonathan David ,
2076,137,Lille,away, 95 ,Goal, Jonathan David , Jonathan Bamba 
2077,138,PSG,away, 18 ,Goal, Kylian Mbappé , Lionel Messi 
2078,138,Nantes,home, 24 ,Red card, Fabio ,
2079,138,PSG,away, 33 ,Substitution, Renato Sanches , Vitinha 
2080,138,Nantes,home, 33 ,Yellow card, Nicolas Pallois ,
2081,138,PSG,away, 47 ,Yellow card, Juan Bernat ,
2082,138,PSG,away, 45 ,Substitution, Nuno Mendes , Juan Bernat 
2083,138,PSG,away, 50 ,Yellow card, Marco Verratti ,
2084,138,PSG,away, 54 ,Goal, Kylian Mbappé , Lionel Messi 
2085,138,PSG,away, 57 ,Yellow card, Kylian Mbappé ,
2086,138,PSG,away, 62 ,Substitution, Sergio Ramos , Marco Verratti 
2087,138,PSG,away, 63 ,Substitution, Neymar , Kylian Mbappé 
2088,138,Nantes,home, 66 ,Substitution, Sebastien Corchia , Jean-Charles Castelletto 
2089,138,Nantes,home, 66 ,Substitution, Ignatius Ganago , Evann Guessand 
2090,138,PSG,away, 68 ,Goal, Nuno Mendes ,
2091,138,PSG,away, 69 ,Yellow card, Sergio Ramos ,
2092,138,PSG,away, 71 ,Substitution, Hugo Ekitike , Pablo Sarabia 
2093,138,Nantes,home, 79 ,Substitution, Lohann Doucet , Samuel Moutoussamy 
2094,138,Nantes,home, 80 ,Substitution, Marcus Coco , Mostafa Mohamed 
2095,138,Nantes,home, 85 ,Substitution, Mohamed Achi , Ludovic Blas 
2096,139,Olympique Lyonnais,home, 31 ,Goal, Karl Toko Ekambi , Thiago Mendes 
2097,139,Olympique Lyonnais,home, 38 ,Goal, Alexandre Lacazette , Malo Gusto 
2098,139,Olympique Lyonnais,home, 54 ,Yellow card, Malo Gusto ,
2099,139,Olympique Lyonnais,home, 56 ,Yellow card, Tetê ,
2100,139,Olympique Lyonnais,home, 59 ,Goal, Karl Toko Ekambi ,
2101,139,Olympique Lyonnais,home, 62 ,Goal, Castello Lukeba , Romain Faivre 
2102,139,Olympique Lyonnais,home, 66 ,Substitution, Moussa Dembele , Alexandre Lacazette 
2103,139,Olympique Lyonnais,home, 66 ,Substitution, Jeff Reine-Adelaide , Tetê 
2104,139,Angers,away, 67 ,Yellow card, Sofiane Boufal ,
